,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,MeanWorkingTime
0,3.0,4.0,2.0,0,Travel_Rarely,Sales,6,2,Life Sciences,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,7.373650622605278
1,3.0,2.0,4.0,1,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,7.718968926553611
2,2.0,2.0,1.0,0,Travel_Frequently,Research & Development,17,4,Other,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,7.013240358126667
3,4.0,4.0,3.0,0,Non-Travel,Research & Development,2,5,Life Sciences,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,7.1936784869975
4,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,10,1,Medical,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,8.006174603174445
5,3.0,2.0,2.0,0,Travel_Rarely,Research & Development,8,3,Life Sciences,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,10.796095874355277
6,1.0,3.0,1.0,1,Travel_Rarely,Research & Development,11,2,Medical,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,6.923570402298611
7,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,18,3,Life Sciences,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,6.725620713305833
8,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,7.236498792270278
9,2.0,1.0,3.0,0,Non-Travel,Research & Development,7,4,Medical,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,7.080087844254445
10,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,17,2,Medical,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,8.403485477178334
11,,4.0,3.0,0,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,7.068954587367222
12,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,9.301409509946389
13,1.0,2.0,2.0,1,Non-Travel,Research & Development,1,1,Medical,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,9.399931442080279
14,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,6.089687644075555
15,3.0,4.0,4.0,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,6.705174636661944
16,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,6.619040626529444
17,1.0,4.0,3.0,0,Non-Travel,Research & Development,1,3,Medical,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,11.014328139114722
18,2.0,2.0,2.0,0,Travel_Rarely,Sales,7,4,Life Sciences,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,6.9602538314175
19,1.0,1.0,3.0,0,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,9.293555796055555
20,3.0,2.0,1.0,0,Travel_Frequently,Research & Development,1,4,Other,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,7.590778256704723
21,1.0,2.0,2.0,0,Travel_Rarely,Sales,8,4,Life Sciences,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,6.008613495469445
22,3.0,3.0,2.0,0,Travel_Rarely,Research & Development,11,4,Life Sciences,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,8.402108477011389
23,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Manufacturing Director,Married,89260,1.0,14,0,,4,20,11,6,1,3,6.807005280073334
24,2.0,4.0,2.0,0,Travel_Frequently,Research & Development,16,4,Medical,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,7.093167388167222
25,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,1,4,Other,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,9.362002074688611
